Mon Jun 10 14:48:54 2024    stats_profiling.raw

         80727910 function calls (80352947 primitive calls) in 260.053 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   176810    0.184    0.000    0.184    0.000 {built-in method numpy.seterrobj}
     5058    0.182    0.000    1.596    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:272(__init__)
    37246    0.180    0.000    0.673    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:259(_reconstruct)
    12382    0.179    0.000    0.414    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:180(__init__)
    25204    0.176    0.000    0.176    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1765(<dictcomp>)
14777/9944    0.174    0.000    0.374    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2436(get_affine)
    72444    0.174    0.000    0.174    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1861    0.171    0.000    0.234    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1964    0.170    0.000    0.242    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:744(_set_order_of_magnitude)
     3057    0.168    0.000    0.863    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:729(draw)
    14535    0.164    0.000    0.164    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:190(__init__)
        6    0.159    0.027    0.187    0.031 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/N_dynamics.py:23(growth_rates)
    67859    0.150    0.000    0.424    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/path.py:202(_update_values)
   176830    0.150    0.000    0.321    0.000 {built-in method builtins.all}
   719548    0.148    0.000    0.148    0.000 {method 'append' of 'list' objects}
   139499    0.146    0.000    0.243    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1327(_to_unmasked_float_array)
    81487    0.139    0.000    0.629    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:417(pchanged)
    25418    0.138    0.000    0.295    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:754(__init__)
       68    0.137    0.002    0.142    0.002 {built-in method matplotlib._image.resample}
    18639    0.137    0.000    0.179    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:136(ones)
        9    0.137    0.015    0.568    0.063 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backend_bases.py:2850(create_with_canvas)
  399/154    0.133    0.000    1.059    0.007 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/offsetbox.py:506(_get_bbox_and_child_offsets)
   444524    0.133    0.000    0.133    0.000 {function RcParams.__getitem__ at 0x7f77bcec3be0}
    25284    0.131    0.000    0.153    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:194(set_children)
   203935    0.127    0.000    0.127    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:154(<genexpr>)
     2419    0.126    0.000    3.711    0.002 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:111(_step_impl)
        2    0.125    0.062   39.585   19.793 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:84(run_wellmixed)
     1268    0.123    0.000    0.151    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/_lib/_util.py:206(_asarray_validated)
   353620    0.123    0.000    0.123    0.000 {built-in method numpy.geterrobj}
    38403    0.122    0.000    0.145    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:102(__init__)
   103211    0.120    0.000    0.483    0.000 {built-in method builtins.any}
6868/6843    0.120    0.000    5.072    0.001 {built-in method builtins.sorted}
       50    0.118    0.002    2.105    0.042 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/collections.py:1175(set_verts)
    67379    0.118    0.000    0.183    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1764(__init__)
