Tue Jun 11 10:33:10 2024    stats_profiling.raw

         80899264 function calls (80517487 primitive calls) in 212.103 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13547    0.056    0.000    0.126    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
81170/76278    0.054    0.000    0.443    0.000 {built-in method builtins.next}
    26092    0.054    0.000    0.412    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2421(all)
     4318    0.054    0.000    0.069    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/twodim_base.py:234(diag)
    27258    0.054    0.000    0.138    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:1269(set_xdata)
    47264    0.054    0.000    0.260    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
    19736    0.054    0.000    0.093    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
   164010    0.053    0.000    0.053    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1181(_tile_dispatcher)
    22370    0.053    0.000    4.223    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/ivp.py:529(<lambda>)
     2420    0.052    0.000    0.103    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:106(phi_and_derivative)
     2227    0.052    0.000    0.068    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:81(atleast_2d)
    67219    0.051    0.000    0.312    0.000 {method 'any' of 'numpy.ndarray' objects}
38841/37618    0.050    0.000    0.248    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:139(__exit__)
    82607    0.050    0.000    0.050    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/multiarray.py:346(where)
    22453    0.050    0.000    0.097    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:880(get_siblings)
     2781    0.050    0.000    1.019    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:738(draw)
        2    0.048    0.024    0.048    0.024 {built-in method pygraphviz._graphviz.agwrite}
     6196    0.048    0.000    0.615    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:185(_reset_visual_defaults)
     3361    0.047    0.000    1.351    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/least_squares.py:824(fun_wrapped)
    31607    0.047    0.000    0.058    0.000 {method '__reduce_ex__' of 'object' objects}
     1214    0.045    0.000    0.045    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    73722    0.044    0.000    0.064    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/function_base.py:348(iterable)
     9067    0.044    0.000    0.181    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:61(norm)
    22514    0.044    0.000    0.044    0.000 {built-in method matplotlib._path.affine_transform}
     3114    0.043    0.000    0.491    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:729(draw)
     9396    0.043    0.000    0.233    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:588(__init__)
     7795    0.043    0.000    0.085    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1978(rotate)
     3361    0.042    0.000    0.092    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:367(in_bounds)
     2002    0.042    0.000    0.129    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/common.py:43(validate_tol)
    39256    0.042    0.000    0.134    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/re.py:187(match)
     1359    0.042    0.000    0.181    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:57(solve_lsq_trust_region)
    71297    0.042    0.000    0.294    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:55(_any)
       18    0.041    0.002    0.042    0.002 {built-in method io.open}
    26832    0.041    0.000    0.194    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/colors.py:265(to_rgba)
    22370    0.041    0.000    4.321    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/base.py:136(fun)
    20753    0.040    0.000    0.131    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/markers.py:277(_recache)
    11200    0.040    0.000    0.543    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
     4013    0.040    0.000    0.070    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:624(translated)
    40442    0.040    0.000    0.179    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/colors.py:213(_is_nth_color)
    62500    0.039    0.000    0.808    0.000 {method 'mean' of 'numpy.ndarray' objects}
    22370    0.039    0.000    4.281    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/base.py:19(fun_wrapped)
    14649    0.039    0.000    0.039    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:190(__init__)
    69051    0.039    0.000    0.066    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
    39258    0.039    0.000    0.059    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/re.py:288(_compile)
6865/6859    0.039    0.000    0.129    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1772(__eq__)
     2002    0.038    0.000    1.268    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:85(__init__)
   177578    0.038    0.000    0.038    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:295(axes)
11261/10145    0.038    0.000    3.458    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:443(wrapper)
    12322    0.037    0.000    0.112    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2347(__init__)
38841/37618    0.037    0.000    0.279    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:130(__enter__)
     1964    0.037    0.000    0.119    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/ticker.py:705(_compute_offset)
    11236    0.037    0.000    0.037    0.000 {method 'astype' of 'numpy.ndarray' objects}
    10052    0.037    0.000    0.152    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/axes/_base.py:844(<dictcomp>)
     8031    0.036    0.000    0.036    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2902(_interval_contains_close)
    91410    0.036    0.000    0.036    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/shape_base.py:19(_atleast_1d_dispatcher)
     1490    0.036    0.000    0.089    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:2330(within_tol)
    38841    0.036    0.000    0.137    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:279(helper)
    21375    0.036    0.000    0.095    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:1290(set_ydata)
     2920    0.036    0.000    0.070    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2822(nonsingular)
