Tue Jun 11 10:06:30 2024    stats_profiling.raw

         81370879 function calls (80985164 primitive calls) in 183.891 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21565    0.173    0.000    0.220    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:136(ones)
   173713    0.161    0.000    0.381    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
       68    0.159    0.002    0.164    0.002 {built-in method matplotlib._image.resample}
     3607    0.156    0.000    0.372    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:440(make_strictly_feasible)
   371962    0.149    0.000    0.149    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
    72530    0.148    0.000    0.241    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1994(_setattr_cm)
    71189    0.146    0.000    0.357    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:66(copy)
        9    0.142    0.016    0.346    0.038 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backend_bases.py:2850(create_with_canvas)
    43098    0.141    0.000    0.213    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:631(__hash__)
    62500    0.140    0.000    0.963    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/function_base.py:398(average)
     5163    0.139    0.000    1.313    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:272(__init__)
   180615    0.138    0.000    0.308    0.000 {built-in method builtins.all}
        2    0.134    0.067   37.332   18.666 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:84(run_wellmixed)
     1890    0.133    0.000    0.178    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    88031    0.132    0.000    5.829    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/einsumfunc.py:1009(einsum)
   727024    0.132    0.000    0.132    0.000 {method 'append' of 'list' objects}
        6    0.131    0.022    0.154    0.026 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/N_dynamics.py:23(growth_rates)
    12592    0.124    0.000    0.223    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:180(__init__)
15045/10209    0.123    0.000    0.254    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2436(get_affine)
     3358    0.122    0.000    0.131    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:144(_compute_absolute_step)
