Tue Jun 11 10:11:33 2024    stats_profiling.raw

         81264732 function calls (80879145 primitive calls) in 221.513 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    90262    0.183    0.000    1.055    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
    25520    0.182    0.000    0.303    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:1726(normalize_kwargs)
83569/83501    0.181    0.000    0.301    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:291(process)
    62500    0.181    0.000    1.120    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:1630(<listcomp>)
   173781    0.164    0.000    0.364    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
       68    0.158    0.002    0.163    0.002 {built-in method matplotlib._image.resample}
    20470    0.158    0.000    0.200    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/numeric.py:136(ones)
     3542    0.153    0.000    0.339    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:440(make_strictly_feasible)
    71063    0.148    0.000    0.363    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:66(copy)
    87716    0.143    0.000    5.369    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/einsumfunc.py:1009(einsum)
    42962    0.142    0.000    0.214    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:631(__hash__)
   726115    0.141    0.000    0.141    0.000 {method 'append' of 'list' objects}
   180934    0.141    0.000    0.301    0.000 {built-in method builtins.all}
     5166    0.139    0.000    1.188    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:272(__init__)
        9    0.136    0.015    0.358    0.040 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/backend_bases.py:2850(create_with_canvas)
        2    0.133    0.066   37.993   18.997 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/well_mixed.py:84(run_wellmixed)
    62500    0.132    0.000    0.945    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/function_base.py:398(average)
        6    0.131    0.022    0.155    0.026 /Users/federicasibilla/Documenti/Tesi/SIMULAZIONI/N_dynamics.py:23(growth_rates)
   360978    0.131    0.000    0.131    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
     1888    0.131    0.000    0.174    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   361352    0.122    0.000    0.122    0.000 {built-in method numpy.geterrobj}
    12598    0.121    0.000    0.285    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:180(__init__)
15029/10190    0.121    0.000    0.249    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:2436(get_affine)
    38425    0.121    0.000    0.491    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/copy.py:259(_reconstruct)
     1540    0.119    0.000    0.194    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/trf.py:128(select_step)
    67933    0.117    0.000    0.318    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/path.py:202(_update_values)
   686796    0.114    0.000    0.114    0.000 {method 'get' of 'dict' objects}
    73756    0.114    0.000    0.114    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2724    0.113    0.000    3.980    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:111(_step_impl)
     3348    0.110    0.000   27.210    0.008 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:275(approx_derivative)
    25859    0.109    0.000    0.229    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:754(__init__)
     3348    0.106    0.000    0.117    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_numdiff.py:144(_compute_absolute_step)
   449305    0.106    0.000    0.106    0.000 {function RcParams.__getitem__ at 0x7fbb04ebfbe0}
    25464    0.105    0.000    0.122    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:194(set_children)
    14751    0.104    0.000    0.104    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/cbook/__init__.py:190(__init__)
